call	files	sites
scope.split	1	1
db.registerOAuthClient	1	1
_uuid.v4	1	1
db.createAuthorizationCode	1	1
aud.endsWith	1	1
aud.substring	1	1
rgba	1	1
backupHandler	1	1
BackupService.create	1	1
BackupService.createFile	1	1
transform	1	1
fromHandlers	1	1
ignore	1	1
file.lengthSync	1	1
restoreHandler	1	1
upload.openWrite	1	1
sink.addStream	1	1
request.read	1	1
upload.lengthSync	1	1
BackupService.restoreFile	1	1
baseHandler	1	1
bundleHandler	1	1
fhir.Bundle.fromJsonString	1	1
generate	1	1
a.compareTo	1	1
value.startsWith	1	1
e.key.toString	1	1
value.map	1	1
authorizeRequest	1	1
method.toString	1	1
req.url.toString	1	1
url.startsWith	1	1
url.contains	1	1
url.replaceAll	1	1
entryUri.path.split	1	1
withId.newId	1	1
withId.copyWith	1	1
bodyResource.newId	1	1
patchResource.toJson	1	1
dbInterface.subjectOfCare	1	1
FhirHttpHeaders.etag	1	1
subscriptions.activate	1	1
subscriptions.onResourceChanged	1	1
everythingHandler	1	1
supportedCompartments.join	1	1
members.keys.toList	1	1
pageIds.add	1	1
paged.add	1	1
requested.replace	1	1
paged.map	1	1
compartmentSearchHandler	1	1
containsKey	1	1
libraryEvaluateHandler	1	1
libraryEvaluateByUrlHandler	1	1
fhir.Library.fromJson	1	1
cqlHandler	1	1
id.startsWith	1	1
library.toJson	1	1
execute	1	1
context.addAll	1	1
BundleDataProvider.fromBundle	1	1
startsWith	1	1
substring	1	1
libraryFromCql	1	1
a.toJson	1	1
results.map	1	1
r.toJson	1	1
double.tryParse	1	1
value.toJson	1	1
value.containsKey	1	1
value.toString	1	1
documentHandler	1	1
references.map	1	1
r.split	1	1
resolvedResources.add	1	1
reference.split	1	1
_jobIdPattern.hasMatch	1	1
BulkExportFile.fromJson	1	1
file.parent.create	1	1
file.openWrite	1	1
ExportFileCrypto.encrypt	1	1
NdjsonStream.write	1	1
out.close	1	1
_out.add	1	1
utf8.encode	1	1
writeAll	1	1
objects.join	1	1
writeCharCode	1	1
writeln	1	1
exportKickoffHandler	1	1
prefer.contains	1	1
BulkExportKickoff.fromQuery	1	1
bulkOutputFormats.join	1	1
unsupported.join	1	1
kickoff.types.join	1	1
filter.toString	1	1
compartmentTypes.intersection	1	1
kickoff.types.toSet	1	1
wanted.where	1	1
v4	1	1
request.requestedUri.toString	1	1
dbInterface.createExportJob	1	1
userId.toString	1	1
base64Encode	1	1
ExportFileCrypto.newKey	1	1
catchError	1	1
principal.userId.toString	1	1
exportStatusHandler	1	1
BulkExportManifest	1	1
HttpDate.format	1	1
expires.toUtc	1	1
exportFileHandler	1	1
file.existsSync	1	1
StreamIterator	1	1
ExportFileCrypto.decrypt	1	1
file.open	1	1
ExportFileCrypto.plaintextLength	1	1
raf.close	1	1
exportDeleteHandler	1	1
jobDir.existsSync	1	1
jobDir.delete	1	1
compartmentTypes.contains	1	1
existingTypes.toSet	1	1
typesToExport.where	1	1
ref.startsWith	1	1
ref.substring	1	1
retainWhere	1	1
allResourceIds.putIfAbsent	1	1
typeFilter.contains	1	1
putIfAbsent	1	1
patientIds.toSet	1	1
filterIds.addAll	1	1
resourceType.toString	1	1
dbInterface.compartmentTypeMembers	1	1
ids.addAll	1	1
sweepExpiredExports	1	1
subtract	1	1
dbInterface.finishedExportJobsBefore	1	1
root.existsSync	1	1
dbInterface.exportJobIds	1	1
root.list	1	1
lastWhere	1	1
owned.contains	1	1
entry.delete	1	1
job	1	1
favicoHandler	1	1
readAsBytes	1	1
fhirPathHandler	1	1
engine.parse	1	1
worker.evaluate	1	1
worker.parse	1	1
immdsForecastHandler	1	1
immdsForecastWhoHandler	1	1
insert	1	1
paramList.any	1	1
patientId.substring	1	1
imm.toJson	1	1
cond.toJson	1	1
allergy.toJson	1	1
healthHandler	1	1
now.difference	1	1
now.toUtc	1	1
resourceHistoryHandler	1	1
dbInterface.getHistory	1	1
typeHistoryHandler	1	1
dbInterface.countTypeHistory	1	1
dbInterface.getTypeHistory	1	1
systemHistoryHandler	1	1
dbInterface.countSystemHistory	1	1
dbInterface.getSystemHistory	1	1
vreadResourceHandler	1	1
dbInterface.getVersion	1	1
versionedResource.toJsonString	1	1
fhir.BundleRequest	1	1
fhir.FhirInstant.fromDateTime	1	1
loginHandler	1	1
unlockAccountHandler	1	1
dbInterface.unlockAccount	1	1
mappingHandler	1	1
db.search	1	1
