time	http	seconds	uptime
12:01:43	200	0.050568	1965
12:01:53	200	0.046900	1975
12:02:03	200	0.050950	1985
12:02:13	200	0.051149	1996
12:02:24	200	0.087798	2006
12:02:34	200	0.046056	2016
12:02:44	200	0.049642	2026
12:02:54	200	0.049620	2036
12:03:04	200	0.075470	2046
12:03:14	200	0.113204	2056
12:03:24	200	0.052552	2066
12:03:34	200	0.053182	2076
12:03:44	200	0.047455	2086
12:03:54	200	0.050225	2096
12:04:04	200	0.054616	2107
12:04:15	200	0.054377	2117
12:04:25	200	0.068558	2127
12:04:35	200	0.051001	2137
12:04:45	200	0.051335	2147
12:04:55	200	0.100833	2157
12:05:05	200	0.134949	2167
12:05:15	200	0.063709	2177
12:05:25	200	0.076019	2187
12:05:35	200	0.062551	2197
12:05:45	200	0.049374	2208
12:05:56	200	0.060604	2218
12:06:06	200	0.047986	2228
12:06:16	200	0.235606	2238
12:06:26	200	0.076278	2248
12:06:36	200	0.081116	2258
12:06:46	200	0.088711	2268
12:06:56	200	0.054700	2278
12:07:06	200	0.065866	2288
12:07:16	200	0.043706	2299
12:07:27	200	0.070911	2309
12:07:37	200	0.032268	2319
12:07:47	200	0.043779	2329
12:07:57	200	0.062529	2339
12:08:07	200	0.042573	2349
12:08:17	200	0.054566	2359
12:08:27	200	0.035031	2369
12:08:37	200	0.054403	2379
12:08:47	200	0.075421	2389
12:08:57	200	0.039988	2399
12:09:07	200	0.047525	2409
12:09:17	200	0.062070	2420
12:09:28	200	0.066070	2430
12:09:38	200	0.073861	2440
12:09:48	200	0.035671	2450
12:09:58	200	0.052973	2460
12:10:08	200	0.073800	2470
12:10:18	200	0.054649	2480
12:10:28	200	0.154624	2490
12:10:38	200	0.095003	2500
12:10:48	200	0.041015	2510
12:10:58	200	0.115181	2521
12:11:09	200	0.046223	2531
12:11:19	200	0.046212	2541
12:11:29	200	0.094388	2551
12:11:39	200	0.144617	2561
12:11:49	200	0.095986	2571
12:11:59	200	0.062793	2581
12:12:09	200	0.267405	2592
12:12:20	200	0.096829	2602
12:12:30	200	0.036902	2612
12:12:40	200	0.041981	2622
12:12:50	200	0.074795	2632
12:13:00	200	0.049017	2642
12:13:10	200	0.143329	2652
12:13:20	200	0.041010	2662
12:13:30	200	0.033549	2672
12:13:40	200	0.046411	2682
12:13:50	200	0.037270	2692
12:14:00	200	0.070269	2703
12:14:10	200	0.039534	2713
12:14:21	200	0.122937	2723
12:14:31	200	0.073312	2733
12:14:41	200	0.041430	2743
12:14:51	200	0.180382	2753
12:15:01	200	0.058486	2763
12:15:11	200	0.175782	2773
12:15:21	200	0.072702	2784
12:15:31	200	0.116114	2794
12:15:42	200	0.073865	2804
12:15:52	200	0.041946	2814
12:16:02	200	0.099164	2824
12:16:12	200	0.113530	2834
12:16:22	200	0.145933	2844
12:16:32	200	0.078327	2854
12:16:42	200	0.131216	2865
12:16:53	200	0.085218	2875
12:17:03	200	0.121000	2885
12:17:13	200	0.044540	2895
12:17:23	200	0.067408	2905
12:17:33	200	0.122990	2915
12:17:43	200	0.102948	2925
12:17:53	200	0.505559	2936
12:18:04	200	0.200051	2946
12:18:14	200	0.135947	2956
