label	query	round	ms	hits	paged_in_sql
after4	_lastUpdated=ge2100	1	1	0	true
after4	_lastUpdated=ge2100	2	1	0	true
after4	count value-quantity=gt100	1	85	56519	-
after4	count value-quantity=gt100	2	71	56519	-
after4	count value-quantity=gt99999	1	0	6	-
after4	count value-quantity=gt99999	2	0	6	-
after4	count value-quantity=le5	1	226	128584	-
after4	count value-quantity=le5	2	272	128584	-
after4	count date=ge2150	1	320	313795	-
after4	count date=ge2150	2	321	313795	-
